X,Y,id,pk_uid,cod_stz,den_uff,cod_gnz,x_stz,y_stz,tip_gnz,gnz,org,origine,indirizzo,comune,provincia,gestore,categoria,cod_sta,data_agg,data_elab,icon_url
9.91183332482348,44.3442946913143,"57","57",RTT0901021SF,SCORCETOLI,RTT0901021GK,"1572710","4910535.74","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Cantiere n. 2,Filattiera,MS,RFI,bronze,"0100","20190904","20191024",./0.png
10.8516832330044,43.9080367534805,"58","58",RTT0902989SF,SERRAVALLE PISTOIESE,RTT0902989GK,"1648717.02","4863341.52","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Vecchia Lucchese,Serravalle Pistoiese,PT,RFI,bronze,"0100","20190904","20191024",./0.png
11.6011368061717,43.2515350934887,"59","59",RTT0903349SF,SERRE DI RAPOLANO,RTT0903349GK,"1711182.738311","4792047.903903","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione,Rapolano Terme,SI,,,"0200","20190904","20191024",./0.png
11.1918557125183,43.8334927005357,"60","60",RTT0902824SF,SESTO FIORENTINO,RTT0902824GK,"1676252.91734","4855730.494567","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Calvani,Sesto Fiorentino,FI,RFI,silver,"0100","20190904","20191024",./0.png
11.3946401560931,43.7909099551317,"61","61",RTT0900049SF,SIECI,RTT0900049GK,"1692694.15","4851452.94","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione,Pontassieve,FI,RFI,silver,"0100","20190904","20191024",./0.png
11.3226831077845,43.331842752487,"62","62",RTT0903221SF,SIENA,RTT0903221GK,"1688329.47","4800301.14","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Rosselli 7,Siena,SI,Centostazioni,gold,"0100","20190904","20191024",./0.png
11.0957209531776,43.7754683150538,"63","63",RTT0901430SF,SIGNA,RTT0901430GK,"1668686.72","4849085.41","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione n. 1,Signa,FI,RFI,silver,"0100","20190904","20191024",./0.png
11.7448915366247,43.2163810763051,"64","64",RTT0900023SF,SINALUNGA,RTT0900023GK,"1722981.26","4788516.88","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione n. 25,Sinalunga,SI,RFI,silver,"0100","20190904","20191024",./0.png
11.1184957510154,42.9292141510733,"65","65",RTT0902309SF,STICCIANO,RTT0902309GK,"1672905.935534","4755145.573624","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione,Roccastrada,GR,RFI,bronze,"0100","20190904","20191024",./0.png
11.865337953353,43.5738081085427,"66","66",RTT0903380SF,SUBBIANO,RTT0903380GK,"1731400.14","4828543.12","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Viale Stazione di Subbiano,Capolona,AR,TFT,,"0100","20190904","20191024",./0.png
11.1645531820472,42.5646466452773,"67","67",RTT0903240SF,TALAMONE,RTT0903240GK,"1677703.07","4714755.39","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via dei Fiori n. 164,Orbetello,GR,RFI,silver,"0100","20190904","20191024",./0.png
